threatTypes,tags,name,description,confidence,revoked,validFrom,validUntil,tlpLevel,severity,observableType,observableValue,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,102.157.44.105,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,105.158.118.241,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,105.69.155.85,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,113.169.187.159,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,134.35.9.209,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,139.195.43.166,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,139.60.161.213,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,148.213.109.165,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,163.182.177.80,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,181.141.3.126,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,181.164.194.228,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,185.143.223.69,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,186.64.67.6,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,186.86.212.138,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,190.193.180.228,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,196.70.77.11,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,197.11.134.255,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,197.158.89.85,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,197.204.247.7,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,197.207.181.147,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,197.207.218.27,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,197.94.67.207,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,23.111.114.52,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,41.100.55.97,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,41.107.77.67,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,41.109.11.80,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,41.251.121.35,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,41.97.65.51,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,42.189.12.36,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,45.227.251.167,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,5.44.42.20,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,61.166.221.46,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,68.83.169.91,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,81.184.181.215,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,82.12.196.197,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,98.143.70.147,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,140.82.48.158,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,147.135.36.162,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,147.135.11.223,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,152.89.247.50,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,172.64.80.1,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,179.43.167.10,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,185.7.214.218,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,193.149.176.157,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,193.235.146.104,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,209.141.36.116,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,45.61.136.47,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,45.8.158.104,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,5.181.234.58,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,5.188.86.195,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,77.73.133.84,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,89.108.65.136,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,94.232.41.105,
Malicious IP,RoyalRansomeware IOC IP,,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,47.87.229.39,
